pid,Product Name,Brand,Price,Discount,Original Price,Rating,No. of Ratings,No. of Reviews,Category,Subcategory,Availability,Product URL
EKTFJP94HGT3MGTD,Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bottle,Butterfly,799,46,"1,499",4.3,"3,46,388","39,076",Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/butterfly-rapid-kettle-1-5-litre-eco-750-ml-water-bottle/p/itmf3c7b5f9a57e6?pid=EKTFJP94HGT3MGTD&lid=LSTEKTFJP94HGT3MGTDN4XD2L&marketplace=FLIPKART&store=j9e&srno=b_13_516&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=8e5800d7-4e9a-40b7-97c9-45a153696beb.EKTFJP94HGT3MGTD.SEARCH&ppt=browse&ppn=browse&ssid=d2o3k1k0g00000001755100242170
WAPFJHYWBYVYKUVM,"Aqua Fresh EPICAQUA ADJUSTER India 1st BIS (IS 16240 :2023) CM/L8100159306 15 L RO + UV + UF + ATDS Water Purifier with Prefilter  (White, Blue)",Aqua,"3,998",75,"16,500",4,"93,774","11,510",Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/aqua-fresh-epicaqua-adjuster-india-1st-bis-is-16240-2023-cm-l8100159306-15-l-ro-uv-uf-atds-water-purifier-prefilter/p/itm4562130920c56?pid=WAPFJHYWBYVYKUVM&lid=LSTWAPFJHYWBYVYKUVMIYNT1U&marketplace=FLIPKART&store=j9e&srno=b_13_519&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=8e5800d7-4e9a-40b7-97c9-45a153696beb.WAPFJHYWBYVYKUVM.SEARCH&ppt=browse&ppn=browse&ssid=d2o3k1k0g00000001755100242170
ACNGYPU5EEVMCQA4,"Voltas 2024 Model 2 Ton 3 Star Split Inverter AC - White  (243V CAS(4503693), Copper Condenser)",Voltas,"45,000",43,"79,990",4.1,"1,533",142,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/voltas-2024-model-2-ton-3-star-split-inverter-ac-white/p/itm24299ce382885?pid=ACNGYPU5EEVMCQA4&lid=LSTACNGYPU5EEVMCQA4PLBVC4&marketplace=FLIPKART&store=j9e&srno=b_14_523&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.ACNGYPU5EEVMCQA4.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
REMGZY6NTZP3UQGE,NixGlobal 248-1 V0LTAS AC Remote Compatible with VOLTAS 1 / 1.5 / 2 TON AC Remote Controller  (White),NixGlobal,292,80,"1,499",3.8,114,7,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/nixglobal-248-1-v0ltas-ac-remote-compatible-voltas-1-1-5-2-ton-controller/p/itm7faa9c12728f0?pid=REMGZY6NTZP3UQGE&lid=LSTREMGZY6NTZP3UQGESBKHGJ&marketplace=FLIPKART&store=j9e&srno=b_14_524&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.REMGZY6NTZP3UQGE.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
WGYGSYNKKZSJ5SYD,Orient Electric Cronos Pro 15 L Storage Water Geyser | 4 Star BEE Energy Rating  (White),Orient,"4,880",57,"11,516",4.2,"12,074",539,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/orient-electric-cronos-pro-15-l-storage-water-geyser-4-star-bee-energy-rating/p/itm7f1afb85036a9?pid=WGYGSYNKKZSJ5SYD&lid=LSTWGYGSYNKKZSJ5SYDLPKOD4&marketplace=FLIPKART&store=j9e&srno=b_14_526&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.WGYGSYNKKZSJ5SYD.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
FANGPYJ5599Z5AXR,Herrricane IN-2023SB24 with 24 Months Warranty Anti Dust 600 mm Ceiling Fan  (Smoke Brown | Pack of 1),Herrricane,941,65,"2,749",3.9,"1,458",90,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/herrricane-in-2023sb24-24-months-warranty-anti-dust-600-mm-ceiling-fan/p/itmbd450725357c5?pid=FANGPYJ5599Z5AXR&lid=LSTFANGPYJ5599Z5AXRJSKEEC&marketplace=FLIPKART&store=j9e&srno=b_14_529&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.FANGPYJ5599Z5AXR.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
OTNEY5HYGJN4ZNHP,"Pigeon 20-Litre Oven Toaster Grill (OTG)  (16321/16132/19004057., Black)",Pigeon,"2,499",56,"5,795",4.1,"3,224",290,Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/pigeon-20-litre-oven-toaster-grill-otg/p/itm1f51d0e5b83c3?pid=OTNEY5HYGJN4ZNHP&lid=LSTOTNEY5HYGJN4ZNHPXAYMMJ&marketplace=FLIPKART&store=j9e&srno=b_14_530&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.OTNEY5HYGJN4ZNHP.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
FDSGHHNUCSREQV6J,REVEXO FMSKYBL4 Fridge Door Shelf,REVEXO,236,76,999,3.8,"1,012",33,Home & Kitchen,Home Appliances,Available,https://www.flipkart.com/revexo-fmskybl4-fridge-door-shelf/p/itm32b25fb71814d?pid=FDSGHHNUCSREQV6J&lid=LSTFDSGHHNUCSREQV6JVYDA1M&marketplace=FLIPKART&store=j9e&srno=b_14_533&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.FDSGHHNUCSREQV6J.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
CHYH3ABUHBMWTPSM,Glen ISPA BLDC AC BL 90cm Auto Clean Curved Glass 90 cm|BLDC Motor|Touch & Gesture Control| Autoclean| Filterless|Powerful Suction | Low Noise Wall Mounted Black 1400 CMH Chimney,Glen,"13,999",54,"30,995",4.1,970,86,Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/glen-ispa-bldc-ac-bl-90cm-auto-clean-curved-glass-90-cm-bldc-motor-touch-gesture-control-autoclean-filterless-powerful-suction-low-noise-wall-mounted-black-1400-cmh-chimney/p/itm29f6c7f21b4a3?pid=CHYH3ABUHBMWTPSM&lid=LSTCHYH3ABUHBMWTPSMOOAJOL&marketplace=FLIPKART&store=j9e&srno=b_14_534&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.CHYH3ABUHBMWTPSM.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
ICTGT3ZYFXJH2QSG,"Prestige 2000 W Induction Cooktop Touch Panel  (Black, Atlas Touch 2000W)",Prestige,"2,549",36,"3,995",4.2,"6,393",434,Home & Kitchen,Kitchen Appliances,Available,https://www.flipkart.com/prestige-2000-w-induction-cooktop-touch-panel/p/itm31b4afefdf610?pid=ICTGT3ZYFXJH2QSG&lid=LSTICTGT3ZYFXJH2QSGQCYUYE&marketplace=FLIPKART&store=j9e&srno=b_14_536&otracker=product_breadCrumbs_Home%20%26%20Kitchen&fm=organic&iid=96b2a42e-1872-4c80-8d6d-1f7e26aea8ac.ICTGT3ZYFXJH2QSG.SEARCH&ppt=browse&ppn=browse&ssid=2z2y4u7qao0000001755100250594
